year,id1,id2
2016,227,78855
2006,228,14165
2006,228,28193
2006,228,30987
2006,228,31339
2005,228,32683
2006,228,51340
2006,228,53353
2006,228,66914
2015,230,36735
2015,230,52339
2015,230,56707
2002,231,1410
2004,231,35279
2004,233,28925
2013,234,31192
2003,235,31000
2006,235,37659
2003,235,41214
2002,235,61886
2003,235,76762
2011,236,37735
2004,237,67060
2017,238,2459
2009,238,55831
2001,239,23831
2005,241,753
2006,241,1994
2005,241,4947
2004,241,13873
2006,241,22182
2005,241,34977
2005,241,38105
2005,241,38940
2004,241,45329
2005,241,50228
2005,241,57575
2005,241,58378
2006,242,42761
2003,243,51931
2005,243,71588
2003,243,75548
2010,244,3065
2010,244,20685
2008,244,24896
2009,244,26301
2001,244,29257
2010,244,34465
2010,244,79380
2004,245,1651
2004,245,36729
2004,245,59149
2000,247,740
2002,247,2354
2004,247,3668
2000,247,9928
2004,247,19671
2004,247,32236
2000,247,38554
2004,247,54125
2002,247,57442
1998,247,67235
2004,248,1185
2006,248,18379
2004,248,26330
2016,248,30850
2016,248,39671
2012,249,46614
2012,249,62332
2005,252,7191
2006,252,55122
2005,253,496
2005,253,57445
1999,255,63509
2005,256,27862
2006,256,52994
2004,256,69924
2016,257,9732
2014,258,6714
2015,258,27561
2012,258,35354
2012,258,52419
2015,258,57252
2006,259,2714
2005,259,2972
2005,259,8451
2007,259,14739
2005,259,25115
2006,259,69263
1962,260,22139
1962,260,27042
1962,260,53249
2002,262,68673
2016,263,8178
2016,263,33676
2016,263,54732
2006,263,56938
2016,263,56987
2006,263,60933
2005,263,77441
2004,264,31044
2016,265,3601
2016,265,17001
2016,265,61436
2005,267,22932
2005,267,26124
2003,268,7564
2002,270,4821
2003,270,5695
2013,270,52512
2004,270,52952
2004,271,2629
2006,273,56151
2006,273,59898
2000,274,19335
2000,274,53777
2004,275,61214
2004,275,67893
2006,276,13584
1979,277,59436
2006,278,76706
1998,279,27902
2004,280,3596
2013,281,32399
2013,281,33157
2013,281,34040
2011,282,2220
2011,282,5107
2009,282,29857
2014,282,29885
2016,282,38487
2011,282,52998
2006,282,53852
2006,282,54610
2016,282,56805
2011,282,60858
2013,282,64502
2006,282,65829
2011,282,69383
2011,282,75088
2014,282,78824
2015,283,34695
2012,284,21978
1998,285,31794
2006,287,12373
2006,287,21427
1999,287,28107
2003,287,68933
2012,289,75261
2004,291,19615
2006,292,5187
2003,293,770
2003,293,1352
2003,293,3272
2002,293,53808
2002,293,59301
1998,295,14284
1998,295,18713
1998,295,19392
1998,295,45645
2003,295,57732
2003,295,68639
2004,297,10945
2004,297,20106
2004,297,54418
2005,298,6167
2005,298,15948
2005,298,38079
2006,299,955
2003,299,3787
2003,299,22061
2006,299,51442
2006,299,53560
2006,299,67988
2003,299,69640
2002,300,720
2006,300,2424
2007,300,26298
2004,300,28643
2004,300,49472
2007,300,56412
2009,300,72323
2016,301,1479
2016,301,21546
2005,302,40375
2006,302,49213
2006,302,75321
2004,302,77802
2001,303,3883
1994,303,17186
1995,303,32674
2012,305,39008
2012,306,742
2012,306,27421
2012,306,33568
2015,306,73101
2005,307,3405
2005,307,4138
2005,307,28570
2006,307,29984
2005,307,32045
2006,307,34810
2005,307,36893
2006,308,60722
2006,309,6102
1997,309,11800
1998,309,14076
1999,309,14373
2004,309,25447
2004,309,30124
1998,309,35651
1994,309,36674
1970,310,3440
2012,311,16241
2012,311,18474
2003,311,70549
2015,312,35954
2008,313,73939
1999,314,30492
2006,315,8510
2004,316,68884
2004,317,3591
2004,317,51724
2004,317,71228
2002,319,18237
2002,319,33042
2012,320,53939
2012,320,55900
2004,322,32945
2002,322,52271
2007,322,54127
2005,323,54402
2014,324,844
2014,324,950
2014,324,46236
2014,326,6694
2014,326,39999
2014,326,52808
1981,328,64015
2016,329,1490
2011,329,17401
2016,329,43723
2016,329,52514
2016,329,72099
2004,330,1778
2004,330,56850
2004,330,64083
2004,330,78533
2008,331,5087
2008,331,40302
2003,331,65187
1998,332,11608
2005,333,72069
2002,335,26150
2014,336,17050
2014,336,21354
2006,336,71157
2002,337,22835
2005,337,45497
2006,337,51060
2004,339,10393
2000,339,59454
2009,339,69365
2000,339,78705
1998,340,14966
1998,340,77748
2003,341,1637
2009,341,32464
2013,341,36212
2004,341,65435
2005,342,26923
2005,342,28956
1999,342,30550
2005,342,58367
2006,342,66879
2006,343,24034
2006,343,24791
2006,344,48818
2006,344,70527
1978,345,72298
2006,346,10915
2011,347,29494
2009,348,2873
2009,348,2906
2009,348,5050
2009,348,9109
2009,348,17427
2009,348,20001
2009,348,21068
2009,348,30343
2009,348,33171
2009,348,59256
2009,348,65599
2005,349,53366
1999,350,50025
2012,351,2575
2014,351,11012
2012,351,17438
2014,351,34241
2014,351,36624
2014,351,67979
2015,351,68957
2006,352,57331
2003,353,1744
2002,353,26773
2006,353,45656
2003,353,70133
2006,353,78002
1999,354,46795
